referrer,views_total,views_unique
github.com,463,80
copperhead.sh,205,83
docs.copperhead.sh,126,40
t.co,70,39
Google,59,20
search.brave.com,24,1
linkedin.com,14,11
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,9,1
chatgpt.com,6,6
DuckDuckGo,5,3
