url_path,views_total,views_unique
/copperheadhq/copperhead,212,85
/copperheadhq/copperhead/pulls,87,12
/copperheadhq/copperhead/issues,74,17
/chouhanindustries/copperhead/pull/244,40,3
/copperheadhq/copperhead/issues/66,39,25
/chouhanindustries/copperhead,38,15
/copperheadhq/copperhead/releases/tag/v0.10.0,23,18
/chouhanindustries/copperhead/pulls,21,5
/copperheadhq/copperhead/issues/251,20,3
/chouhanindustries/copperhead/issues/251,19,5
