referrer,views_total,views_unique
github.com,439,88
copperhead.sh,235,95
docs.copperhead.sh,155,45
t.co,70,39
Google,67,26
search.brave.com,26,2
linkedin.com,14,11
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,9,1
DuckDuckGo,7,4
chatgpt.com,6,6
