referrer,views_total,views_unique
github.com,479,45
copperhead.sh,34,17
Google,33,10
docs.copperhead.sh,28,11
search.brave.com,25,2
linkedin.com,8,5
com.linkedin.android,4,2
t.co,3,3
lnkd.in,2,1
devesh.cv,1,1
