referrer,views_total,views_unique
github.com,440,90
copperhead.sh,248,100
docs.copperhead.sh,176,50
t.co,73,42
Google,69,28
search.brave.com,26,2
linkedin.com,24,16
Bing,15,2
symmetrical-giggle-rrgjgg97x9qfgp.github.dev,9,1
DuckDuckGo,7,4
